4193 /  007 Racing /  $4.07 /  $6.27 /  $18.93 / 
12685 /  "Caesars Palace" /  $3.59 /  $4.84 /  $8.70 / 
7286 /  "Caesars Palace 2" /  $3.20 /  $4.42 /  $17.95 / 
12686 /  "Caesars Palace 2000" /  $3.33 /  $4.41 /  $13.00 / 
4304 /  Capcom vs SNK Pro /  $18.93 /  $39.23 /  $82.48 / 
14287 /  Car and Driver Presents Grand Tour Racing 98 /  $3.42 /  $4.60 /  $9.99 / 
12687 /  Card Games /  $3.39 /  $4.49 /  $5.74 / 
4305 /  Cardinal Syn /  $6.09 /  $8.40 /  $15.44 / 
4306 /  Carnage Heart /  $17.10 /  $28.49 /  $35.50 / 
4307 /  Casper /  $5.13 /  $6.00 /  $40.72 / 
4308 /  Casper Friends Around the World /  $4.70 /  $4.98 /  $20.23 / 
37620 /  Casper [Greatest Hits] /  $5.98 /  $8.82 /  $9.23 / 
4309 /  Castlevania Chronicles /  $59.49 /  $98.00 /  $175.66 / 
4310 /  Castlevania Symphony of the Night /  $39.86 /  $69.99 /  $132.99 / 
37589 /  Castlevania Symphony of the Night [Greatest Hits] /  $43.00 /  $56.10 /  $142.07 / 
12688 /  Castrol Honda Superbike Racing /  $3.99 /  $4.01 /  $9.99 / 
4313 /  Centipede /  $5.04 /  $6.22 /  $14.98 / 
12690 /  Championship Motocross /  $3.47 /  $5.53 /  $9.99 / 
4314 /  Championship Motocross 2001 /  $3.86 /  $8.20 /  $20.35 / 
12689 /  Championship Surfer /  $2.55 /  $4.66 /  $5.34 / 
12904 /  Chess /  $3.50 /  $3.99 /  $11.46 / 
4315 /  Chessmaster 3D /  $3.49 /  $5.49 /  $32.30 / 
38421 /  Chessmaster 3D [Long Box] /  $4.99 /  $12.99 /  $19.96 / 
4316 /  Chessmaster II /  $5.90 /  $9.21 /  $23.95 / 
4317 /  Chicken Run /  $5.00 /  $9.51 /  $18.34 / 
4318 /  Chocobo Racing /  $21.91 /  $39.25 /  $93.90 / 
4319 /  "Chocobos Dungeon 2" /  $19.49 /  $40.71 /  $99.99 / 
8733 /  Chronicles of the Sword /  $6.32 /  $9.50 /  $27.50 / 
4320 /  Chrono Cross /  $8.12 /  $12.43 /  $14.37 / 
37587 /  Chrono Cross [Greatest Hits] /  $6.04 /  $10.57 /  $14.83 / 
4321 /  Circuit Breakers /  $6.57 /  $7.95 /  $19.98 / 
4322 /  Civilization II /  $9.99 /  $16.55 /  $35.33 / 
39951 /  Clear Blue Dual Shock Controller /  $12.00 /  $18.00 /  $47.97 / 
53813 /  Clear Dual Shock Controller /  $11.50 /  $17.25 /  $46.00 / 
39950 /  Clear Green Dual Shock Controller /  $12.00 /  $17.54 /  $48.00 / 
58121 /  Clear Red Dual Shock Controller /   /   /   / 
12691 /  "Cleopatras Fortune" /  $4.12 /  $6.58 /  $8.15 / 
4323 /  Clock Tower /  $47.15 /  $78.99 /  $400.00 / 
4324 /  Clock Tower 2 /  $54.64 /  $107.50 /  $260.89 / 
12692 /  Codename Tenka /  $6.88 /  $12.05 /  $43.40 / 
18581 /  Colin McRae Rally /  $5.99 /  $9.95 /  $25.88 / 
4325 /  Colin Mcrae Rally 2.0 /  $18.86 /  $32.14 /  $38.22 / 
12585 /  Collection of Intellivision Classic Games /  $4.97 /  $6.96 /  $13.05 / 
17615 /  College Slam /  $7.99 /  $9.28 /  $12.29 / 
38422 /  College Slam [Long Box] /  $4.51 /  $11.25 /  $18.00 / 
4326 /  Colony Wars /  $5.51 /  $11.13 /  $25.44 / 
4327 /  Colony Wars Red Sun /  $6.03 /  $9.92 /  $18.71 / 
4328 /  Colony Wars Vengeance /  $4.32 /  $8.86 /  $16.70 / 
4329 /  Command and Conquer /  $8.79 /  $9.62 /  $45.00 / 
4330 /  Command and Conquer Red Alert /  $12.60 /  $15.54 /  $50.06 / 
4332 /  Command and Conquer Red Alert Retaliation /  $8.68 /  $14.98 /  $44.97 / 
12693 /  Contender /  $2.09 /  $4.48 /  $8.80 / 
12694 /  Contender 2 /  $3.99 /  $4.00 /  $9.00 / 
4333 /  Contra Adventure /  $20.01 /  $44.58 /  $100.56 / 
4334 /  Contra Legacy of War /  $8.95 /  $13.78 /  $86.67 / 
12695 /  Cool Boarders /  $5.51 /  $8.97 /  $22.04 / 
12696 /  Cool Boarders 2 /  $4.00 /  $4.77 /  $13.76 / 
49705 /  Cool Boarders 2 [Greatest Hits] /  $2.74 /  $2.74 /  $9.95 / 
12698 /  Cool Boarders 2001 /  $3.23 /  $3.23 /  $8.98 / 
12697 /  Cool Boarders 3 /  $3.03 /  $5.47 /  $17.02 / 
49706 /  Cool Boarders 3 [Greatest Hits] /  $2.69 /  $4.31 /  $10.76 / 
13098 /  Cool Boarders 4 /  $3.26 /  $4.57 /  $6.96 / 
49707 /  Cool Boarders 4 [Greatest Hits] /  $3.83 /  $3.83 /  $7.19 / 
4335 /  Countdown Vampires /  $29.99 /  $51.60 /  $92.56 / 
12699 /  Courier Crisis /  $5.15 /  $11.59 /  $32.25 / 
7301 /  Covert Ops Nuclear Dawn /  $4.99 /  $10.61 /  $36.93 / 
4336 /  Crash Bandicoot /  $9.99 /  $15.88 /  $42.70 / 
4337 /  Crash Bandicoot 2 Cortex Strikes Back /  $6.07 /  $8.07 /  $41.77 / 
37613 /  Crash Bandicoot 2 Cortex Strikes Back [Greatest Hits] /  $6.99 /  $8.64 /  $24.75 / 
15026 /  "Crash Bandicoot Collectors Edition" /  $35.98 /  $49.00 /  $143.92 / 
4338 /  Crash Bandicoot Warped /  $5.82 /  $9.99 /  $42.23 / 
53919 /  "Crash Bandicoot Warped [Collectors Edition]" /  $9.74 /  $12.00 /  $31.20 / 
37591 /  Crash Bandicoot Warped [Greatest Hits] /  $6.24 /  $9.95 /  $43.01 / 
37590 /  Crash Bandicoot [Greatest Hits] /  $11.66 /  $15.24 /  $61.21 / 
4339 /  Crash Bash /  $9.00 /  $11.24 /  $45.24 / 
53918 /  "Crash Bash [Collectors Edition]" /  $9.25 /  $14.09 /  $36.32 / 
37622 /  Crash Bash [Greatest Hits] /  $9.95 /  $11.90 /  $40.95 / 
4341 /  Creatures /  $4.50 /  $5.89 /  $13.92 / 
4342 /  Creatures Raised In Space /  $4.97 /  $8.50 /  $10.48 / 
12700 /  Crime Killer /  $3.50 /  $7.08 /  $14.00 / 
4343 /  Critical Depth /  $3.58 /  $8.25 /  $15.04 / 
12701 /  Criticom /  $4.88 /  $9.07 /  $32.00 / 
38423 /  Criticom [Long Box] /  $8.51 /  $12.77 /  $49.99 / 
4344 /  Croc /  $5.87 /  $9.99 /  $36.57 / 
4345 /  Croc 2 /  $9.55 /  $14.12 /  $42.14 / 
37623 /  Croc [Greatest Hits] /  $5.99 /  $9.99 /  $31.00 / 
12702 /  Crossroad Crisis /  $2.95 /  $5.38 /  $6.50 / 
4346 /  Crusader-No Remorse /  $11.99 /  $28.13 /  $33.41 / 
4347 /  Crusaders of Might and Magic /  $3.74 /  $6.99 /  $15.48 / 
4348 /  Crypt Killer /  $13.88 /  $22.50 /  $48.76 / 
12703 /  Cubix Robots for Everyone Race N Robots /  $3.48 /  $4.82 /  $7.29 / 
4349 /  Cyber Sled /  $7.98 /  $12.30 /  $57.01 / 
38424 /  Cyber Sled [Long Box] /  $11.69 /  $13.47 /  $89.99 / 
12704 /  CyberSpeed /  $4.60 /  $8.75 /  $30.59 / 
38425 /  CyberSpeed [Long Box] /  $5.70 /  $8.93 /  $59.95 / 
12705 /  CyberTiger /  $2.80 /  $3.18 /  $9.95 / 
12706 /  Cyberia /  $5.40 /  $9.02 /  $38.63 / 
38426 /  Cyberia [Long Box] /  $6.99 /  $13.99 /  $54.74 / 
14051 /  D /  $12.02 /  $61.89 /  $160.93 / 
38427 /  D [Long Box] /  $35.75 /  $54.94 /  $143.00 / 
4350 /  Dance Dance Revolution /  $5.76 /  $8.22 /  $17.20 / 
4351 /  Dance Dance Revolution Bundle /  $10.11 /  $38.30 /  $260.30 / 
4352 /  Dance Dance Revolution Disney Mix /  $7.94 /  $13.00 /  $40.69 / 
4353 /  Dance Dance Revolution Konamix /  $4.71 /  $7.39 /  $17.50 / 
49708 /  Dance Dance Revolution Konamix [Greatest Hits] /  $5.20 /  $5.95 /  $11.58 / 
4354 /  Danger Girl /  $9.99 /  $18.32 /  $31.63 / 
12708 /  Dare Devil Derby 3D /  $3.14 /  $6.22 /  $19.42 / 
12709 /  Darklight Conflict /  $2.97 /  $6.38 /  $18.73 / 
4355 /  Darkstalkers 3 /  $20.34 /  $48.49 /  $68.16 / 
4356 /  Darkstalkers The Night Warriors /  $19.95 /  $66.25 /  $199.99 / 
38429 /  Darkstalkers The Night Warriors [Long Box] /  $25.85 /  $55.50 /  $103.40 / 
4357 /  Darkstone /  $5.08 /  $7.66 /  $20.30 / 
14363 /  Dave Mirra Freestyle BMX /  $4.49 /  $6.74 /  $24.51 / 
14140 /  Dave Mirra Freestyle BMX Maximum Remix /  $4.45 /  $10.53 /  $14.22 / 
49709 /  Dave Mirra Freestyle BMX [Greatest Hits] /  $3.99 /  $7.99 /  $7.99 / 
18699 /  David Beckham Soccer /  $3.95 /  $5.94 /  $9.91 / 
18630 /  Dead Ball Zone /  $4.21 /  $7.82 /  $23.72 / 
4358 /  Dead in the Water /  $4.92 /  $11.41 /  $23.99 / 
4359 /  Dead or Alive /  $10.73 /  $22.88 /  $85.09 / 
12710 /  Deathtrap Dungeon /  $5.46 /  $7.45 /  $29.99 / 
12711 /  Deception III Dark Delusion /  $22.41 /  $31.49 /  $63.48 / 
12707 /  Defcon 5 /  $5.42 /  $9.74 /  $21.76 / 
38430 /  Defcon 5 [Long Box] /  $8.89 /  $11.11 /  $35.56 / 
4360 /  Delta Force Urban Warfare /  $3.98 /  $6.97 /  $12.99 / 
4361 /  Demolition Racer /  $5.57 /  $9.99 /  $39.72 / 
13836 /  Descent /  $9.00 /  $12.10 /  $41.51 / 
4362 /  Descent Maximum /  $5.99 /  $11.44 /  $49.69 / 
38431 /  Descent [Long Box] /  $9.54 /  $13.49 /  $39.95 / 
4363 /  Destrega /  $11.90 /  $17.72 /  $32.61 / 
4364 /  Destruction Derby /  $5.54 /  $8.75 /  $31.99 / 
4365 /  Destruction Derby 2 /  $6.80 /  $7.75 /  $33.58 / 
37625 /  Destruction Derby 2 [Greatest Hits] /  $6.21 /  $9.43 /  $24.60 / 
4366 /  Destruction Derby Raw /  $8.03 /  $12.99 /  $31.85 / 
37624 /  Destruction Derby [Greatest Hits] /  $4.53 /  $8.49 /  $14.98 / 
38432 /  Destruction Derby [Long Box] /  $9.22 /  $14.90 /  $100.00 / 
4367 /  Detective Barbie The Mystery Cruise /  $4.34 /  $5.97 /  $9.25 / 
4368 /  Devil Dice /  $11.61 /  $15.23 /  $35.27 / 
4369 /  "Dexters Laboratory Mandarks Lab" /  $6.25 /  $8.69 /  $14.18 / 
4370 /  Diablo /  $33.61 /  $50.00 /  $574.87 / 
