4193 //  007 Racing //  $4.37 //  $6.57 //  $18.93 // 
12689 //  Championship Surfer //  $2.92 //  $4.56 //  $5.33 // 
12904 //  Chess //  $3.28 //  $3.58 //  $8.51 // 
4315 //  Chessmaster 3D //  $3.49 //  $5.99 //  $40.44 // 
38421 //  Chessmaster 3D [Long Box] //  $4.99 //  $11.56 //  $19.96 // 
4316 //  Chessmaster II //  $5.80 //  $5.89 //  $23.60 // 
4317 //  Chicken Run //  $6.08 //  $11.35 //  $18.34 // 
4318 //  Chocobo Racing //  $22.08 //  $36.65 //  $91.57 // 
4319 //  "Chocobos Dungeon 2" //  $16.13 //  $40.03 //  $97.00 // 
8733 //  Chronicles of the Sword //  $6.21 //  $9.32 //  $24.84 // 
4320 //  Chrono Cross //  $7.01 //  $18.45 //  $25.29 // 
37587 //  Chrono Cross [Greatest Hits] //  $6.04 //  $10.57 //  $12.96 // 
4321 //  Circuit Breakers //  $6.57 //  $8.80 //  $27.85 // 
4322 //  Civilization II //  $10.54 //  $15.89 //  $36.17 // 
39951 //  Clear Blue Dual Shock Controller //  $12.00 //  $18.00 //  $48.00 // 
53813 //  Clear Dual Shock Controller //  $11.50 //  $17.25 //  $46.00 // 
39950 //  Clear Green Dual Shock Controller //  $12.00 //  $17.99 //  $48.00 // 
58121 //  Clear Red Dual Shock Controller //   //   //   // 
12691 //  "Cleopatras Fortune" //  $4.64 //  $6.58 //  $7.90 // 
4323 //  Clock Tower //  $44.22 //  $75.00 //  $399.99 // 
4324 //  Clock Tower 2 //  $65.00 //  $117.44 //  $205.35 // 
12692 //  Codename Tenka //  $6.50 //  $11.14 //  $37.50 // 
18581 //  Colin McRae Rally //  $6.76 //  $10.34 //  $26.21 // 
4325 //  Colin Mcrae Rally 2.0 //  $18.80 //  $36.73 //  $37.73 // 
12585 //  Collection of Intellivision Classic Games //  $4.97 //  $7.49 //  $12.99 // 
