8764 //  Cool World //  $50.00 //  $128.25 //  $395.08 // 
12142 //  Cowboy Kid //  $264.50 //  $469.98 //  $1056.87 // 
12143 //  "Crash n the Boys: Street Challenge" //  $29.98 //  $57.50 //  $219.99 // 
8786 //  Crystal Mines //  $19.99 //  $39.50 //  $100.01 // 
12144 //  Crystalis //  $15.54 //  $49.00 //  $198.46 // 
8794 //  Cyberball //  $11.60 //  $23.44 //  $71.10 // 
8796 //  Cybernoid The Fighting Machine //  $5.28 //  $13.36 //  $44.99 // 
12145 //  Cyberstadium Series Base Wars //  $8.50 //  $21.49 //  $44.49 // 
8801 //  Dance Aerobics //  $5.35 //  $13.98 //  $32.00 // 
8804 //  "Danny Sullivans Indy Heat" //  $18.17 //  $40.78 //  $144.99 // 
8808 //  Darkman //  $19.95 //  $40.61 //  $99.99 // 
8810 //  Darkwing Duck //  $43.57 //  $121.25 //  $499.99 // 
12146 //  Dash Galaxy in the Alien Asylum //  $5.45 //  $19.95 //  $44.72 // 
8817 //  "Day Dreamin Davey" //  $15.00 //  $40.51 //  $166.97 // 
8818 //  Days Of Thunder //  $6.49 //  $15.92 //  $46.24 // 
12147 //  Deadly Towers //  $5.97 //  $22.24 //  $60.75 // 
38022 //  Deadly Towers [5 Screw] //  $9.77 //  $25.99 //  $83.17 // 
12148 //  Death Race //  $34.99 //  $63.99 //  $183.91 // 
12149 //  Deathbots //  $16.97 //  $39.23 //  $72.25 // 
12150 //  Defender II //  $5.95 //  $19.22 //  $38.87 // 
12151 //  Defender of the Crown //  $5.92 //  $20.80 //  $54.21 // 
8836 //  Defenders of Dynatron City //  $26.19 //  $69.00 //  $219.08 // 
12152 //  Deja Vu //  $11.99 //  $26.99 //  $65.51 // 
12153 //  Demon Sword //  $8.86 //  $27.99 //  $105.06 // 
12154 //  Desert Commander //  $6.77 //  $20.07 //  $56.69 // 
12155 //  Destination Earthstar //  $5.03 //  $14.88 //  $34.89 // 
12156 //  Destiny of an Emperor //  $25.24 //  $61.98 //  $246.21 // 
12157 //  Dick Tracy //  $6.54 //  $28.34 //  $150.70 // 
8841 //  Die Hard //  $114.29 //  $229.95 //  $301.77 // 
12159 //  Dig Dug II: Trouble in Paradise //  $8.47 //  $22.95 //  $128.89 // 
12160 //  Digger T Rock //  $14.70 //  $46.07 //  $110.00 // 
12161 //  Dirty Harry //  $8.57 //  $24.46 //  $63.58 // 
39508 //  Dizzy the Adventurer //  $24.12 //  $109.15 //  $349.28 // 
21555 //  Dogbone Controller //  $24.26 //  $49.99 //  $85.00 // 
11985 //  Donkey Kong //  $29.99 //  $127.01 //  $149.99 // 
12163 //  Donkey Kong 3 //  $14.25 //  $86.33 //  $279.65 // 
37986 //  Donkey Kong 3 [5 Screw] //  $16.09 //  $88.87 //  $188.08 // 
