2888 //  007 James Bond //  $7.06 //  $18.50 //  $148.50 // 
13394 //  Iron Man X-O Manowar in Heavy Metal //  $9.97 //  $90.31 //  $109.99 // 
13395 //  Ishido: The Way of Stones //  $4.51 //  $15.67 //  $23.01 // 
2887 //  Itchy and Scratchy Miniature Golf Madness //  $20.00 //  $254.74 //  $585.90 // 
13396 //  Jack Nicklaus Golf //  $4.59 //  $13.90 //  $41.71 // 
13397 //  Jeep Jamboree //  $6.36 //  $45.92 //  $47.98 // 
13399 //  Jeopardy //  $4.63 //  $11.94 //  $27.86 // 
13400 //  Jeopardy Platinum Edition //  $8.61 //  $30.44 //  $69.95 // 
13398 //  Jeopardy Sports Edition //  $5.63 //  $23.50 //  $59.99 // 
2890 //  Jeopardy Teen Tournament //  $7.70 //  $27.23 //  $100.95 // 
13403 //  Jimmy Connors Tennis //  $170.73 //  $600.00 //  $1377.34 // 
15880 //  Joe and Mac //  $18.31 //  $75.00 //  $172.50 // 
13408 //  Jordan vs Bird One on One //  $7.07 //  $7.50 //  $189.99 // 
16189 //  Joshua: The Battle of Jericho //  $21.10 //  $59.61 //  $137.10 // 
13409 //  Judge Dredd //  $6.95 //  $26.07 //  $54.99 // 
13411 //  Jungle Strike //  $8.71 //  $18.60 //  $78.88 // 
2893 //  Jurassic Park //  $7.17 //  $27.37 //  $66.25 // 
2894 //  Jurassic Park 2 The Chaos Continues //  $10.79 //  $40.00 //  $40.59 // 
13414 //  Ken Griffey Jr Presents Major League Baseball //  $3.78 //  $19.99 //  $33.00 // 
10575 //  Kid Dracula //  $108.75 //  $749.00 //  $923.54 // 
2896 //  Kid Icarus Of Myths and Monsters //  $12.60 //  $38.07 //  $304.80 // 
2897 //  Killer Instinct //  $6.00 //  $29.55 //  $127.62 // 
58164 //  King James Bible //  $99.99 //  $326.23 //  $328.10 // 
13417 //  King of Fighters 95 //  $17.99 //  $55.96 //  $61.53 // 
13419 //  Kingdom Crusade //  $10.37 //  $53.11 //  $100.00 // 
2899 //  Kirby Pinball Land //  $7.94 //  $32.25 //  $120.01 // 
66736 //  "Kirby Pinball Land [Players Choice]" //   //   //   // 
9214 //  "Kirbys Block Ball" //  $7.99 //  $52.50 //  $90.00 // 
2901 //  "Kirbys Dream Land" //  $11.44 //  $30.00 //  $260.68 // 
2898 //  "Kirbys Dream Land 2" //  $18.28 //  $92.99 //  $400.00 // 
66733 //  "Kirbys Dream Land 2 [Players Choice]" //   //   //   // 
66751 //  "Kirbys Dream Land [Players Choice]" //  $8.99 //  $31.47 //  $76.42 // 
13420 //  "Kirbys Star Stacker" //  $9.99 //  $39.73 //  $175.06 // 
46435 //  Klax //  $6.70 //  $19.68 //  $45.27 // 
13422 //  "Knights Quest" //  $94.56 //  $312.49 //  $610.00 // 
13424 //  "Krustys Fun House" //  $10.99 //  $28.28 //  $45.97 // 
13425 //  Kung Fu Master //  $16.96 //  $242.38 //  $279.20 // 
