40357 /  Rugrats in Paris [Gray Cart] /  $21.45 /  $22.58 /  $102.90 / 
3897 /  Rumble Pak /  $14.95 /  $31.35 /  $69.16 / 
3898 /  Rush 2 /  $10.92 /  $20.97 /  $75.13 / 
3899 /  Rush 2049 /  $19.46 /  $50.58 /  $118.70 / 
12587 /  SCARS /  $10.29 /  $39.27 /  $59.99 / 
3900 /  San Francisco Rush /  $7.44 /  $24.22 /  $60.24 / 
3901 /  Scooby Doo Classic Creep Capers /  $11.70 /  $29.93 /  $90.80 / 
40358 /  Scooby Doo Classic Creep Capers [Gray Cart] /  $14.22 /  $15.89 /  $42.90 / 
3902 /  Shadow Man /  $10.53 /  $29.35 /  $50.00 / 
3903 /  Shadowgate 64 /  $20.28 /  $38.50 /  $161.60 / 
3686 /  Smoke Controller /  $28.12 /  $70.31 /  $189.94 / 
3904 /  Snowboard Kids /  $35.34 /  $115.98 /  $388.74 / 
3905 /  Snowboard Kids 2 /  $45.50 /  $200.00 /  $796.04 / 
3906 /  South Park /  $9.90 /  $24.99 /  $94.99 / 
3907 /  "South Park Chefs Luv Shack" /  $14.05 /  $23.17 /  $54.07 / 
3908 /  South Park Rally /  $14.38 /  $29.99 /  $83.87 / 
3909 /  Space Invaders /  $12.66 /  $30.28 /  $87.87 / 
3910 /  Space Station Silicon Valley /  $24.12 /  $68.99 /  $146.27 / 
3911 /  Spiderman /  $13.59 /  $35.54 /  $135.11 / 
3918 /  Star Fox 64 /  $12.72 /  $52.08 /  $166.53 / 
37557 /  Star Fox 64 [Not for Resale] /  $65.00 /   /   / 
42334 /  "Star Fox 64 [Players Choice]" /  $17.30 /  $38.99 /  $225.17 / 
38234 /  Star Fox 64 [Rumble Pak Bundle] /  $42.57 /  $58.96 /  $336.92 / 
3912 /  Star Soldier /  $26.09 /  $149.99 /  $194.25 / 
3913 /  Star Wars Battle for Naboo /  $14.00 /  $28.75 /  $56.08 / 
3914 /  Star Wars Episode I Racer /  $5.65 /  $15.74 /  $57.50 / 
37558 /  Star Wars Episode I Racer [Not for Resale] /  $55.08 /   /   / 
3915 /  Star Wars Rogue Squadron /  $8.93 /  $24.99 /  $88.37 / 
37559 /  Star Wars Rogue Squadron [Not for Resale] /  $58.00 /   /   / 
42335 /  "Star Wars Rogue Squadron [Players Choice]" /  $7.49 /  $25.90 /  $69.93 / 
3916 /  Star Wars Shadows of the Empire /  $8.52 /  $27.48 /  $100.84 / 
42336 /  "Star Wars Shadows of the Empire [Players Choice]" /  $4.99 /  $26.20 /  $56.67 / 
3917 /  Starcraft 64 /  $45.00 /  $173.51 /  $396.36 / 
3920 /  Starshot Space Circus Fever /  $33.50 /  $94.01 /  $160.00 / 
3921 /  Stunt Racer /  $220.35 /  $722.90 /  $2015.00 / 
3922 /  Super Bowling /  $340.30 /  $542.13 /  $937.50 / 
3924 /  Super Mario 64 /  $25.41 /  $55.39 /  $294.79 / 
37560 /  Super Mario 64 [Not for Resale] /  $47.48 /   /   / 
42337 /  "Super Mario 64 [Players Choice]" /  $27.41 /  $53.73 /  $232.49 / 
3925 /  Super Smash Bros. /  $30.65 /  $72.73 /  $762.50 / 
54979 /  "Super Smash Bros. [Players Choice]" /  $26.12 /  $124.75 /  $336.83 / 
3923 /  Supercross 2000 /  $4.04 /  $16.04 /  $46.16 / 
3926 /  Superman /  $6.54 /  $35.37 /  $80.54 / 
3927 /  Tarzan /  $12.70 /  $32.39 /  $112.23 / 
3928 /  Tetrisphere /  $6.99 /  $20.60 /  $47.34 / 
3929 /  The Glove Controller /  $2.96 /  $7.40 /  $19.99 / 
3853 /  The New Tetris /  $14.99 /  $31.50 /  $93.56 / 
3930 /  "Tiggers Honey Hunt" /  $9.49 /  $31.57 /  $62.88 / 
3931 /  Tom and Jerry /  $18.16 /  $85.41 /  $209.84 / 
3932 /  Tonic Trouble /  $10.00 /  $38.77 /  $72.66 / 
3933 /  Tony Hawk /  $8.29 /  $18.64 /  $38.99 / 
3934 /  Tony Hawk 2 /  $12.08 /  $27.81 /  $66.35 / 
