3914 //  Star Wars Episode I Racer //  $6.42 //  $21.83 //  $61.77 // 
37558 //  Star Wars Episode I Racer [Not for Resale] //  $55.25 //   //   // 
68637 //  Star Wars Episode I: Racer [Classic Edition] //   //   //   // 
3915 //  Star Wars Rogue Squadron //  $10.22 //  $24.86 //  $92.39 // 
37559 //  Star Wars Rogue Squadron [Not for Resale] //  $87.25 //   //   // 
42335 //  "Star Wars Rogue Squadron [Players Choice]" //  $8.95 //  $25.90 //  $69.93 // 
3916 //  Star Wars Shadows of the Empire //  $9.62 //  $24.49 //  $74.65 // 
68877 //  Star Wars Shadows of the Empire [Classic Edition] //  $20.00 //  $50.00 //  $135.00 // 
42336 //  "Star Wars Shadows of the Empire [Players Choice]" //  $7.99 //  $36.35 //  $56.67 // 
3917 //  Starcraft 64 //  $53.13 //  $112.19 //  $473.62 // 
3920 //  Starshot Space Circus Fever //  $36.50 //  $107.68 //  $170.99 // 
3921 //  Stunt Racer //  $202.49 //  $644.51 //  $1890.00 // 
3922 //  Super Bowling //  $311.63 //  $585.00 //  $965.40 // 
3924 //  Super Mario 64 //  $30.73 //  $57.33 //  $502.40 // 
37560 //  Super Mario 64 [Not for Resale] //  $47.43 //   //   // 
42337 //  "Super Mario 64 [Players Choice]" //  $25.14 //  $57.30 //  $232.49 // 
3925 //  Super Smash Bros. //  $34.99 //  $87.85 //  $779.64 // 
54979 //  "Super Smash Bros. [Players Choice]" //  $32.42 //  $124.75 //  $336.83 // 
3923 //  Supercross 2000 //  $5.27 //  $15.57 //  $43.16 // 
3926 //  Superman //  $9.46 //  $37.65 //  $79.33 // 
3927 //  Tarzan //  $12.97 //  $31.81 //  $106.60 // 
3928 //  Tetrisphere //  $8.41 //  $20.58 //  $48.20 // 
3929 //  The Glove Controller //  $2.96 //  $7.40 //  $19.99 // 
3853 //  The New Tetris //  $19.99 //  $32.59 //  $91.09 // 
3930 //  "Tiggers Honey Hunt" //  $9.00 //  $31.46 //  $66.62 // 
3931 //  Tom and Jerry //  $19.13 //  $77.38 //  $230.64 // 
3932 //  Tonic Trouble //  $11.97 //  $43.79 //  $73.25 // 
3933 //  Tony Hawk //  $10.00 //  $21.35 //  $51.00 // 
3934 //  Tony Hawk 2 //  $15.27 //  $29.99 //  $77.27 // 
3935 //  Tony Hawk 3 //  $33.50 //  $69.99 //  $93.43 // 
3936 //  Top Gear Hyper-Bike //  $17.77 //  $42.34 //  $137.45 // 
3937 //  Top Gear Overdrive //  $6.99 //  $26.97 //  $66.64 // 
3938 //  Top Gear Rally //  $7.25 //  $17.65 //  $66.04 // 
3939 //  Top Gear Rally 2 //  $10.54 //  $29.99 //  $76.54 // 
