33818 /  TurboGrafx-16 CD System /  $200.00 /  $440.00 /  $899.45 / 
19984 /  TurboGrafx-16 System /  $106.94 /  $236.41 /  $631.64 / 
40415 /  Turbografx-16 Controller /  $39.22 /  $72.00 /  $144.00 / 
14535 /  Turrican /  $44.41 /  $99.93 /  $199.66 / 
19538 /  Valis II [Super CD] /  $52.08 /  $71.15 /  $300.25 / 
18658 /  Valis III [Super CD] /  $88.75 /  $96.17 /  $97.47 / 
19537 /  Valis: The Fantasm Soldier [Super CD] /  $32.13 /  $34.99 /  $69.97 / 
32789 /  Vasteel II [Super CD] /   /   /   / 
32777 /  Vasteel [Super CD] /  $95.35 /  $116.98 /  $428.93 / 
14539 /  Veigues Tactical Gladiator /  $31.92 /  $49.00 /  $100.00 / 
12085 /  Victory Run /  $13.22 /  $15.26 /  $50.77 / 
12086 /  Vigilante /  $17.99 /  $25.60 /  $55.00 / 
12087 /  World Class Baseball /  $8.00 /  $11.59 /  $24.48 / 
14540 /  World Court Tennis /  $14.16 /  $24.92 /  $38.48 / 
12088 /  World Sports Competition /  $106.24 /  $187.07 /  $330.65 / 
14542 /  Yo Bro /  $26.29 /  $37.73 /  $69.50 / 
18608 /  Ys Books I & II [Super CD] /  $56.43 /  $72.50 /  $353.98 / 
18577 /  Ys III Wanderers from Ys [Super CD] /  $103.98 /  $110.01 /  $240.01 / 
